Name,Description,Section/Column,Tags
"AI điều khiển UI như human","Giai đoạn 1 — Ý tưởng gốc",C1 - Idea → Formal System,"G1,Idea"
"Không hook code nội bộ","Giai đoạn 1 — Ý tưởng gốc",C1 - Idea → Formal System,"G1,Idea"
"Điều khiển qua AX","Giai đoạn 1 — Ý tưởng gốc",C1 - Idea → Formal System,"G1,Idea"
"macOS + AX","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"Loop observe→decide→emit→verify","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"Không bắn mù","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"AX API (concept)","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"CGEvent (concept)","Giai đoạn 2 — Kiến trúc kỹ thuật",C1 - Idea → Formal System,"G2,Architecture"
"DecisionInput chuẩn hóa","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"Policy total order","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"LLM sandbox (intent-only)","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"Determinism proof","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"State model","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"Policy hierarchy","Giai đoạn 3 — Determinism Design",C1 - Idea → Formal System,"G3,Determinism"
"RFC‑AX‑DET‑001","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Scope","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Architecture","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Invariants","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Safety","Giai đoạn 4 — RFC hóa",C2 - Spec → RFC → Skeleton,"G4,RFC"
"Repo skeleton","Giai đoạn 5 — Code Skeleton",C2 - Spec → RFC → Skeleton,"G5,Skeleton"
"Module boundaries","Giai đoạn 5 — Code Skeleton",C2 - Spec → RFC → Skeleton,"G5,Skeleton"
"Không logic","Giai đoạn 5 — Code Skeleton",C2 - Spec → RFC → Skeleton,"G5,Skeleton"
"Python + Git","Giai đoạn 5 — Code Skeleton",C2 - Spec → RFC → Skeleton,"G5,Skeleton"
"Mỗi module = 1 task","Giai đoạn 6 — Asana/Governance",C3 - Execution Surface & Governance,"G6,Governance"
"Thứ tự cứng","Giai đoạn 6 — Asana/Governance",C3 - Execution Surface & Governance,"G6,Governance"
"Audit trail","Giai đoạn 6 — Asana/Governance",C3 - Execution Surface & Governance,"G6,Governance"
"Asana project","Giai đoạn 6 — Asana/Governance",C3 - Execution Surface & Governance,"G6,Governance"
"UIState","Giai đoạn 7 — core/state",C4 - Implementation (Local, Real),"G7,State"
"CtrlState","Giai đoạn 7 — core/state",C4 - Implementation (Local, Real),"G7,State"
"normalize()","Giai đoạn 7 — core/state",C4 - Implementation (Local, Real),"G7,State"
"Loop chạy thật","Giai đoạn 8 — Control loop",C4 - Implementation (Local, Real),"G8,Loop"
"Rate limit","Giai đoạn 8 — Control loop",C4 - Implementation (Local, Real),"G8,Loop"
"STOP conditions","Giai đoạn 8 — Control loop",C4 - Implementation (Local, Real),"G8,Loop"
"AX Observer thật","Giai đoạn 9 — AX Observer",C4 - Implementation (Local, Real),"G9,AX"
"pyobjc","Giai đoạn 9 — AX Observer",C4 - Implementation (Local, Real),"G9,AX"
"ApplicationServices","Giai đoạn 9 — AX Observer",C4 - Implementation (Local, Real),"G9,AX"
"Quartz","Giai đoạn 9 — AX Observer",C4 - Implementation (Local, Real),"G9,AX"
"Đọc focus thật","Giai đoạn 9 — AX Observer",C4 - Implementation (Local, Real),"G9,AX"
"Role / label / bbox","Giai đoạn 9 — AX Observer",C4 - Implementation (Local, Real),"G9,AX"
"Emit TAB (CGEvent)","Giai đoạn 10 — Input Emit",C4 - Implementation (Local, Real),"G10,Emit"
"Input Monitoring","Giai đoạn 10 — Input Emit",C4 - Implementation (Local, Real),"G10,Emit"
"Không side-effect","Giai đoạn 10 — Input Emit",C4 - Implementation (Local, Real),"G10,Emit"
"Finder loop ổn định","Giai đoạn 11 — Finder",C5 - Multi-App Enablement,"G11,Finder"
"Vision fallback (safe)","Giai đoạn 11 — Finder",C5 - Multi-App Enablement,"G11,Finder"
"Safari AX query","Giai đoạn 12 — Safari",C5 - Multi-App Enablement,"G12,Safari"
"Zone detection","Giai đoạn 12 — Safari",C5 - Multi-App Enablement,"G12,Safari"
"Tab-only safe mode","Giai đoạn 12 — Safari",C5 - Multi-App Enablement,"G12,Safari"
"Safari adapter","Giai đoạn 12 — Safari",C5 - Multi-App Enablement,"G12,Safari"
"AXTextArea → STOP","Giai đoạn 13 — Notes",C5 - Multi-App Enablement,"G13,Notes"
"Không gõ text","Giai đoạn 13 — Notes",C5 - Multi-App Enablement,"G13,Notes"
"Enter button-only","Giai đoạn 13 — Notes",C5 - Multi-App Enablement,"G13,Notes"
"Notes policy","Giai đoạn 13 — Notes",C5 - Multi-App Enablement,"G13,Notes"
"Intent-only","Giai đoạn 14 — LLM Strategy",C6 - LLM Integration (Safe),"G14,LLM"
"Không emit","Giai đoạn 14 — LLM Strategy",C6 - LLM Integration (Safe),"G14,LLM"
"Replay-safe","Giai đoạn 14 — LLM Strategy",C6 - LLM Integration (Safe),"G14,LLM"
"Ollama","Giai đoạn 14 — LLM Strategy",C6 - LLM Integration (Safe),"G14,LLM"
"llama3.x","Giai đoạn 14 — LLM Strategy",C6 - LLM Integration (Safe),"G14,LLM"
"subprocess","Giai đoạn 14 — LLM Strategy",C6 - LLM Integration (Safe),"G14,LLM"
"ax-control repo","Giai đoạn 15 — Framework hóa",C7 - Framework & Productization,"G15,Framework"
"adapters / core / apps / safety","Giai đoạn 15 — Framework hóa",C7 - Framework & Productization,"G15,Framework"
"Reusable","Giai đoạn 15 — Framework hóa",C7 - Framework & Productization,"G15,Framework"
"Git","Giai đoạn 15 — Framework hóa",C7 - Framework & Productization,"G15,Framework"
".app bundle","Giai đoạn 16 — Đóng gói .app",C7 - Framework & Productization,"G16,App"
"Info.plist","Giai đoạn 16 — Đóng gói .app",C7 - Framework & Productization,"G16,App"
"Bash wrapper","Giai đoạn 16 — Đóng gói .app",C7 - Framework & Productization,"G16,App"
"LSUIElement=true","Giai đoạn 16 — Đóng gói .app",C7 - Framework & Productization,"G16,App"
"Double-click chạy","Giai đoạn 16 — Đóng gói .app",C7 - Framework & Productization,"G16,App"
"codesign","Giai đoạn 17 — Sign & Notarize",C7 - Framework & Productization,"G17,Sign"
"notarytool","Giai đoạn 17 — Sign & Notarize",C7 - Framework & Productization,"G17,Sign"
"stapler","Giai đoạn 17 — Sign & Notarize",C7 - Framework & Productization,"G17,Sign"
"Developer ID","Giai đoạn 17 — Sign & Notarize",C7 - Framework & Productization,"G17,Sign"
"Gatekeeper OK","Giai đoạn 17 — Sign & Notarize",C7 - Framework & Productization,"G17,Sign"
"Scope hẹp","Giai đoạn 18 — Controlled Prod",C8 - Prod Phase (Controlled),"G18,Prod"
"Monitoring","Giai đoạn 18 — Controlled Prod",C8 - Prod Phase (Controlled),"G18,Prod"
"Replay log","Giai đoạn 18 — Controlled Prod",C8 - Prod Phase (Controlled),"G18,Prod"
"Kill-switch","Giai đoạn 18 — Controlled Prod",C8 - Prod Phase (Controlled),"G18,Prod"
"Manual supervision","Giai đoạn 18 — Controlled Prod",C8 - Prod Phase (Controlled),"G18,Prod"
"macOS app (.app)","Thành phẩm cuối",C9 - End State,"End,Deliverable"
"Điều khiển UI qua AX","Thành phẩm cuối",C9 - End State,"End,Deliverable"
"Deterministic","Thành phẩm cuối",C9 - End State,"End,Deliverable"
"LLM opt-in","Thành phẩm cuối",C9 - End State,"End,Deliverable"
"Không cloud","Thành phẩm cuối",C9 - End State,"End,Deliverable"
"Không phá hệ thống","Thành phẩm cuối",C9 - End State,"End,Deliverable"
